name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;conditions;icon;stations
surabaya;2023-09-01T00:00:00;26;26;21;73.97;0;0;;0;0;18;3.6;140;1012;27.4;10;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96935599999
surabaya;2023-09-01T01:00:00;26.3;26.3;22.6;80.56;0;0;;0;0;14.4;6.9;158;1012.4;44.5;7.7;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96933099999,96935099999,96935599999
surabaya;2023-09-01T02:00:00;24;24;21;83.34;0;0;;0;0;11.2;7.6;220;1011;27.4;5;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96935599999
surabaya;2023-09-01T03:00:00;24;24;21;83.34;0;0;;0;0;8.6;3.6;180;1011;27.4;5;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96935599999
surabaya;2023-09-01T04:00:00;23.3;23.3;21.5;89.8;0;0;;0;0;6.5;4.8;247;1011.3;34.9;5;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96935099999,96935599999
surabaya;2023-09-01T05:00:00;23;23;21;88.52;0;0;;0;0;7.9;5.4;240;1011;27.4;5;0;0;0;10;Partially cloudy;partly-cloudy-night;WARR,96935599999
surabaya;2023-09-01T06:00:00;23;23;21;88.52;0;0;;0;0;6.8;1.8;260;1012;27.4;4;12;0;0;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T07:00:00;25.1;25.1;21.2;78.93;0;0;;0;0;2.2;1.6;137;1013.1;29.5;9.2;183;0.7;2;10;Partially cloudy;partly-cloudy-day;WARR,96933099999,96935099999,96935599999
surabaya;2023-09-01T08:00:00;27;28.2;19;61.61;0;0;;0;0;5.4;13;130;1013;27.4;10;435;1.6;4;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T09:00:00;29;30.8;20;58.35;0;0;;0;0;10.8;7.6;130;1013;27.4;10;665;2.4;7;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T10:00:00;30.7;32.3;19.4;50.85;0;0;;0;0;14.8;16.6;100;1013.4;28.3;10;846;3;8;10;Partially cloudy;partly-cloudy-day;WARR,96935099999,96935599999
surabaya;2023-09-01T11:00:00;31;31.4;17;43.1;0;0;;0;0;16.6;18.4;100;1012;27.4;10;958;3.4;10;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T12:00:00;31;32.4;19;48.88;0;0;;0;0;16.6;18.4;110;1012;27.4;10;997;3.6;10;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T13:00:00;32;33.9;19.5;47.72;0;0;;0;0;15.5;18.4;107;1010.5;28.3;10;957;3.4;10;10;Partially cloudy;partly-cloudy-day;WARR,96935099999,96935599999
surabaya;2023-09-01T14:00:00;32;33.5;19;46.18;0;0;;0;0;14;20.5;80;1009;27.4;10;843;3;8;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T15:00:00;32;34.2;20;49.14;0;0;;0;0;11.2;20.5;70;1009;27.4;10;663;2.4;7;10;Partially cloudy;partly-cloudy-day;WARR,96935599999
surabaya;2023-09-01T16:00:00;30;33.1;21.7;60.88;0;0;;0;0;10.8;18.6;80;1009.2;28.3;10;432;1.6;4;10;Partially cloudy;partly-cloudy-day;WARR,96935099999,96935599999
