Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
2024-09-27,10650,10500,10750,10400,93030000,-0.0047
2024-09-26,10700,10875,10875,10675,84960000,-0.0138
2024-09-25,10850,10675,10850,10525,158370000,0.0046
2024-09-24,10800,10775,10950,10775,105190000,-0.0137
2024-09-23,10950,10725,10950,10725,72550000,0.0162
2024-09-20,10775,10900,10900,10775,142190000,-0.0115
2024-09-19,10900,10700,10900,10650,140890000,0.0259
2024-09-18,10625,10500,10625,10450,65420000,0.0119
2024-09-17,10500,10450,10500,10350,89750000,0.0072
2024-09-13,10425,10400,10425,10325,70060000,-0.0048
2024-09-12,10475,10450,10500,10375,70760000,0.0048
2024-09-11,10425,10425,10425,10350,64620000,0.0072
2024-09-10,10350,10350,10350,10275,55090000,0.0073
2024-09-09,10275,10300,10350,10200,36190000,-0.0024
2024-09-06,10300,10225,10300,10225,31540000,0.0049
2024-09-05,10250,10350,10350,10250,39330000,-0.0049
2024-09-04,10300,10150,10300,10125,44820000,0.0123
2024-09-03,10175,10325,10325,10150,50950000,-0.0097
2024-09-02,10275,10375,10375,10200,72010000,-0.0048
2024-08-30,10325,10325,10325,10200,158400000,0.0098
2024-08-29,10225,10500,10500,10225,53000000,-0.0121
2024-08-28,10350,10300,10350,10250,38490000,0.0147
2024-08-27,10200,10275,10300,10175,60450000,-0.0121
2024-08-26,10325,10275,10375,10250,35150000,0.0
2024-08-23,10325,10325,10375,10300,46650000,0.0
2024-08-22,10325,10350,10400,10225,56610000,-0.0096
2024-08-21,10425,10500,10500,10425,84850000,0.0
2024-08-20,10425,10325,10450,10300,60300000,0.0048
2024-08-19,10375,10325,10425,10275,51050000,0.0048
2024-08-16,10325,10300,10325,10250,40730000,0.0098
2024-08-15,10225,10200,10300,10175,33400000,0.0025
2024-08-14,10200,10300,10300,10200,48000000,-0.0097
2024-08-13,10300,10250,10300,10175,55210000,0.0098
2024-08-12,10200,10100,10200,10075,40360000,0.0049
2024-08-09,10150,10225,10250,10100,47060000,-0.0073
2024-08-08,10225,10150,10225,10075,54160000,0.0124
2024-08-07,10100,10000,10100,10000,52350000,0.01
2024-08-06,10000,10075,10075,9950,78470000,0.0127
2024-08-05,9875,10000,10150,9875,126330000,-0.0319
2024-08-02,10200,10275,10350,10200,55770000,-0.0169
2024-08-01,10375,10200,10375,10200,61180000,0.0097
2024-07-31,10275,10350,10350,10225,82520000,0.0098
2024-07-30,10175,10300,10300,10175,32200000,-0.0073
2024-07-29,10250,10400,10425,10175,69090000,-0.0073
2024-07-26,10325,10375,10400,10300,75570000,0.0024
2024-07-25,10300,10225,10300,10200,98090000,0.0223
2024-07-24,10075,10125,10175,10075,24660000,-0.0098
2024-07-23,10175,10200,10200,10125,39320000,0.0074
2024-07-22,10100,10125,10150,10100,31290000,-0.0025
2024-07-19,10125,10050,10125,9975,53880000,0.0025
2024-07-18,10100,9800,10100,9800,65380000,0.0306
2024-07-17,9800,9900,9950,9800,90670000,-0.0151
2024-07-16,9950,9975,10025,9950,37190000,-0.01
2024-07-15,10050,10050,10075,9950,36680000,-0.0025
2024-07-12,10075,10050,10100,10025,79030000,0.0
2024-07-11,10075,10000,10125,10000,55910000,-0.0025
2024-07-10,10100,10175,10225,10050,62330000,0.0025
2024-07-09,10075,10100,10150,10075,61850000,0.0025
2024-07-08,10050,10000,10050,9950,72900000,0.0101
2024-07-05,9950,9925,9975,9875,36950000,0.0127
2024-07-04,9825,9975,10000,9825,67050000,-0.0175
2024-07-03,10000,9975,10000,9925,55860000,0.0101
2024-07-02,9900,10000,10000,9850,78850000,0.0025
2024-07-01,9875,9850,9900,9825,68630000,-0.005
2024-06-28,9925,9800,9975,9775,166170000,0.0179
2024-06-27,9750,9575,9750,9550,89150000,0.0263
2024-06-26,9500,9525,9650,9450,77910000,-0.0104
2024-06-25,9600,9600,9600,9450,80030000,0.0
2024-06-24,9600,9600,9750,9575,79590000,0.0
2024-06-21,9600,9475,9675,9400,167760000,0.0186
2024-06-20,9425,9150,9425,9100,81470000,0.0414
2024-06-19,9050,9250,9250,9050,100050000,-0.0163
2024-06-14,9200,9200,9250,9100,52990000,0.0
