Tanggal;Terakhir
11/10/2024;6.950
10/10/2024;6.950
09/10/2024;6.950
08/10/2024;7.075
07/10/2024;6.875
04/10/2024;6.950
03/10/2024;7.050
02/10/2024;6.975
01/10/2024;7.050
30/09/2024;6.925
27/09/2024;7.050
26/09/2024;7.175
25/09/2024;7.200
24/09/2024;7.425
23/09/2024;7.450
20/09/2024;7.300
19/09/2024;7.400
18/09/2024;7.400
17/09/2024;7.425
13/09/2024;7.275
12/09/2024;7.300
11/09/2024;7.375
10/09/2024;7.250
09/09/2024;7.250
06/09/2024;7.250
05/09/2024;7.175
04/09/2024;7.175
03/09/2024;7.075
02/09/2024;7.200
30/08/2024;7.125
29/08/2024;7.100
28/08/2024;7.225
27/08/2024;7.025
26/08/2024;7.050
23/08/2024;7.050
22/08/2024;7.050
21/08/2024;7.250
20/08/2024;7.200
19/08/2024;7.150
16/08/2024;7.075
15/08/2024;7.025
14/08/2024;7.075
13/08/2024;7.000
12/08/2024;6.900
09/08/2024;6.850
08/08/2024;6.800
07/08/2024;6.775
06/08/2024;6.625
05/08/2024;6.575
02/08/2024;6.800
01/08/2024;6.750
31/07/2024;6.400
30/07/2024;6.475
29/07/2024;6.475
26/07/2024;6.550
25/07/2024;6.575
24/07/2024;6.475
23/07/2024;6.625
22/07/2024;6.700
19/07/2024;6.525
18/07/2024;6.550
17/07/2024;6.450
16/07/2024;6.350
15/07/2024;6.350
12/07/2024;6.425
11/07/2024;6.400
10/07/2024;6.375
09/07/2024;6.375
08/07/2024;6.225
05/07/2024;6.425
04/07/2024;6.250
03/07/2024;6.225
02/07/2024;6.200
01/07/2024;6.250
28/06/2024;6.150
27/06/2024;6.000
26/06/2024;5.850
25/06/2024;5.925
24/06/2024;6.000
21/06/2024;6.125
20/06/2024;5.950
19/06/2024;5.750
14/06/2024;5.750
13/06/2024;5.875
12/06/2024;5.925
11/06/2024;6.125
10/06/2024;6.275
07/06/2024;6.275
06/06/2024;6.175
05/06/2024;6.000
04/06/2024;6.150
03/06/2024;6.100
31/05/2024;5.900
30/05/2024;5.875
29/05/2024;5.800
28/05/2024;5.950
27/05/2024;5.825
22/05/2024;6.050
21/05/2024;6.025
20/05/2024;6.325
17/05/2024;6.575
16/05/2024;6.350
15/05/2024;6.375
14/05/2024;6.200
13/05/2024;6.200
08/05/2024;6.275
07/05/2024;6.275
06/05/2024;6.275
03/05/2024;6.150
02/05/2024;6.325
30/04/2024;6.900
29/04/2024;6.925
26/04/2024;6.750
25/04/2024;6.950
24/04/2024;7.050
23/04/2024;6.825
22/04/2024;6.725
19/04/2024;6.725
18/04/2024;6.800
17/04/2024;6.625
16/04/2024;6.625
05/04/2024;6.825
04/04/2024;6.875
03/04/2024;6.775
02/04/2024;6.900
01/04/2024;6.900
28/03/2024;7.250
27/03/2024;7.175
26/03/2024;7.175
25/03/2024;7.250
22/03/2024;7.050
21/03/2024;7.050
20/03/2024;7.050
19/03/2024;7.275
18/03/2024;7.175
15/03/2024;7.400
14/03/2024;7.400
13/03/2024;7.275
08/03/2024;7.125
07/03/2024;7.100
06/03/2024;7.075
05/03/2024;7.025
04/03/2024;7.025
01/03/2024;7.025
29/02/2024;7.000
28/02/2024;7.125
27/02/2024;7.075
26/02/2024;7.050
23/02/2024;7.050
22/02/2024;7.100
21/02/2024;7.250
20/02/2024;7.150
19/02/2024;7.150
16/02/2024;7.200
15/02/2024;7.200
13/02/2024;7.025
12/02/2024;7.100
07/02/2024;6.950
06/02/2024;6.850
05/02/2024;6.825
02/02/2024;6.675
01/02/2024;6.550
31/01/2024;6.650
30/01/2024;6.650
29/01/2024;6.475
26/01/2024;6.300
25/01/2024;6.275
24/01/2024;6.400
23/01/2024;6.500
22/01/2024;6.500
19/01/2024;6.525
18/01/2024;6.525
17/01/2024;6.525
16/01/2024;6.525
15/01/2024;6.500
12/01/2024;6.575
11/01/2024;6.450
10/01/2024;6.425
09/01/2024;6.375
08/01/2024;6.400
05/01/2024;6.425
04/01/2024;6.350
03/01/2024;6.100
02/01/2024;6.125
29/12/2023;6.050
28/12/2023;6.125
27/12/2023;6.000
22/12/2023;5.975
21/12/2023;5.975
20/12/2023;5.925
19/12/2023;5.975
18/12/2023;5.925
15/12/2023;5.900
14/12/2023;5.950
13/12/2023;5.725
12/12/2023;5.800
11/12/2023;5.775
08/12/2023;5.700
07/12/2023;5.750
06/12/2023;5.800
05/12/2023;5.975
04/12/2023;6.000
01/12/2023;5.900
30/11/2023;5.850
29/11/2023;5.850
28/11/2023;5.900
27/11/2023;5.900
24/11/2023;5.875
23/11/2023;5.900
22/11/2023;5.875
21/11/2023;5.875
20/11/2023;5.875
17/11/2023;5.900
16/11/2023;5.925
15/11/2023;5.925
14/11/2023;5.825
13/11/2023;5.825
10/11/2023;5.775
09/11/2023;5.875
08/11/2023;5.850
07/11/2023;5.875
06/11/2023;5.925
03/11/2023;5.825
02/11/2023;5.900
01/11/2023;5.650
31/10/2023;5.675
30/10/2023;5.725
27/10/2023;5.700
26/10/2023;5.700
25/10/2023;5.850
24/10/2023;5.750
23/10/2023;5.675
20/10/2023;5.750
19/10/2023;5.725
18/10/2023;5.850
17/10/2023;6.000
16/10/2023;6.025
13/10/2023;6.075
12/10/2023;6.075
11/10/2023;6.050
10/10/2023;6.000
09/10/2023;5.900
06/10/2023;6.025
05/10/2023;6.125
04/10/2023;6.125
03/10/2023;6.075
02/10/2023;6.050
29/09/2023;6.025
27/09/2023;6.000
26/09/2023;5.925
25/09/2023;6.000
22/09/2023;6.000
21/09/2023;6.000
20/09/2023;6.075
19/09/2023;6.000
18/09/2023;5.900
15/09/2023;5.925
14/09/2023;5.825
13/09/2023;5.850
12/09/2023;5.875
11/09/2023;5.925
08/09/2023;5.900
07/09/2023;5.875
06/09/2023;6.050
05/09/2023;6.100
04/09/2023;6.100
01/09/2023;6.075
31/08/2023;6.025
30/08/2023;5.975
29/08/2023;5.950
28/08/2023;6.000
25/08/2023;5.900
24/08/2023;5.950
23/08/2023;5.850
22/08/2023;5.950
21/08/2023;5.825
18/08/2023;5.775
16/08/2023;5.800
15/08/2023;5.800
14/08/2023;5.950
11/08/2023;5.925
10/08/2023;5.975
09/08/2023;5.900
08/08/2023;5.900
07/08/2023;5.875
04/08/2023;5.775
03/08/2023;5.800
02/08/2023;5.700
01/08/2023;5.650
31/07/2023;5.725
28/07/2023;5.700
27/07/2023;5.625
26/07/2023;5.575
25/07/2023;5.550
24/07/2023;5.500
21/07/2023;5.550
20/07/2023;5.525
18/07/2023;5.350
17/07/2023;5.375
14/07/2023;5.400
13/07/2023;5.350
12/07/2023;5.300
