ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501272,15/10/2024 00:00,,,,,75,27,4,SW,5
501272,15/10/2024 01:00,,,,,68,29,4,SW,5
501272,15/10/2024 02:00,,,,,60,30,4,N,2
501272,15/10/2024 03:00,,,,,53,32,4,N,2
501272,15/10/2024 04:00,,,,,51,33,4,N,2
501272,15/10/2024 05:00,,,,,52,33,4,N,6
501272,15/10/2024 06:00,,,,,51,34,4,N,6
501272,15/10/2024 07:00,,,,,52,33,4,N,6
501272,15/10/2024 08:00,,,,,55,32,3,N,10
501272,15/10/2024 09:00,,,,,60,31,4,N,10
501272,15/10/2024 10:00,,,,,66,30,1,N,10
501272,15/10/2024 11:00,,,,,70,29,1,NE,6
501272,15/10/2024 12:00,24.0,34.0,51.0,91.0,74,28,4,NE,6
501272,15/10/2024 13:00,,,,,76,28,3,NE,6
501272,15/10/2024 14:00,,,,,78,27,3,NE,5
501272,15/10/2024 15:00,,,,,83,26,4,NE,5
501272,15/10/2024 16:00,,,,,85,26,4,NE,5
501272,15/10/2024 17:00,,,,,89,25,4,E,2
501272,15/10/2024 18:00,,,,,90,25,4,E,2
501272,15/10/2024 19:00,,,,,89,25,4,E,2
501272,15/10/2024 20:00,,,,,91,24,4,SW,7
501272,15/10/2024 21:00,,,,,81,25,4,SW,7
501272,15/10/2024 22:00,,,,,67,25,4,SW,7
501272,15/10/2024 23:00,,,,,62,26,4,SW,6
501272,16/10/2024 00:00,,,,,56,28,4,SW,6
501272,16/10/2024 01:00,,,,,55,30,4,SW,6
501272,16/10/2024 02:00,,,,,49,31,4,NW,4
501272,16/10/2024 03:00,,,,,43,32,4,NW,4
501272,16/10/2024 04:00,,,,,40,33,0,NW,4
501272,16/10/2024 05:00,,,,,41,33,1,N,5
501272,16/10/2024 06:00,,,,,43,33,1,N,5
501272,16/10/2024 07:00,,,,,45,33,1,N,5
501272,16/10/2024 08:00,,,,,47,32,3,N,5
501272,16/10/2024 09:00,,,,,51,31,3,N,5
501272,16/10/2024 10:00,,,,,53,30,3,N,5
501272,16/10/2024 11:00,,,,,52,29,1,E,12
501272,16/10/2024 12:00,24.0,33.0,40.0,83.0,52,29,4,E,12
501272,16/10/2024 13:00,,,,,57,28,4,E,12
501272,16/10/2024 14:00,,,,,60,28,1,E,10
501272,16/10/2024 15:00,,,,,64,27,1,E,10
501272,16/10/2024 16:00,,,,,66,27,1,E,10
501272,16/10/2024 17:00,,,,,67,26,0,S,6
501272,16/10/2024 18:00,,,,,71,25,1,S,6
501272,16/10/2024 19:00,,,,,75,25,1,S,6
501272,16/10/2024 20:00,,,,,79,24,1,SW,5
501272,16/10/2024 21:00,,,,,82,24,3,SW,5
501272,16/10/2024 22:00,,,,,83,24,4,SW,5
501272,16/10/2024 23:00,,,,,78,25,4,SW,4
501272,17/10/2024 00:00,,,,,67,27,4,SW,4
501272,17/10/2024 01:00,,,,,57,29,3,SW,4
501272,17/10/2024 02:00,,,,,50,30,1,SW,4
501272,17/10/2024 03:00,,,,,45,32,1,SW,4
501272,17/10/2024 04:00,,,,,42,33,1,NW,7
