Date;Price;Open;High;Low;Vol;Change
12/06/2024;6225;6200;6275;6125;75.99M;1.22%
12/05/2024;6150;6350;6375;6150;69.53M;-3.53%
12/04/2024;6375;6275;6450;6225;75.26M;1.59%
12/03/2024;6275;6100;6275;6100;99.51M;4.58%
12/02/2024;6000;6175;6250;5975;114.56M;-2.44%
11/29/2024;6150;6325;6375;6125;157.63M;-4.65%
11/28/2024;6450;6350;6525;6350;81.88M;0.78%
11/26/2024;6400;6600;6600;6325;107.19M;-2.66%
11/25/2024;6575;6325;6600;6325;183.45M;5.20%
11/22/2024;6250;6125;6300;6100;80.24M;1.63%
11/21/2024;6150;6225;6225;6125;76.58M;-1.20%
11/20/2024;6225;6325;6350;6200;68.71M;-0.40%
11/19/2024;6250;6375;6375;6225;95.50M;-1.19%
11/18/2024;6325;6350;6425;6225;80.65M;-0.39%
11/15/2024;6350;6300;6400;6300;41.08M;-0.39%
11/14/2024;6375;6375;6475;6350;69.75M;-0.78%
11/13/2024;6425;6500;6550;6400;102.75M;0.78%
11/12/2024;6375;6375;6450;6325;117.28M;0.39%
11/11/2024;6350;6300;6450;6150;125.61M;0.40%
11/08/2024;6325;6425;6525;6275;192.68M;-1.56%
11/07/2024;6425;6500;6550;6425;154.76M;-1.91%
11/06/2024;6550;6925;6925;6550;147.27M;-5.42%
11/05/2024;6925;6725;6950;6675;88.66M;2.59%
11/04/2024;6750;6600;6800;6525;80.21M;1.50%
11/01/2024;6650;6725;6725;6550;101.42M;-0.75%
10/31/2024;6700;6750;6825;6700;126.73M;-0.74%
10/30/2024;6750;6575;6775;6575;122.13M;-1.10%
10/29/2024;6825;6800;6850;6725;91.27M;0.00%
10/28/2024;6825;7075;7075;6800;114.50M;-3.19%
10/25/2024;7050;6975;7050;6975;34.64M;1.08%
10/24/2024;6975;7000;7150;6975;65.88M;-1.41%
10/23/2024;7075;7075;7125;7025;38.22M;0.00%
10/22/2024;7075;7150;7175;7075;43.58M;-1.74%
10/21/2024;7200;7250;7250;7125;43.06M;0.35%
10/18/2024;7175;7275;7300;7175;57.38M;-0.69%
10/17/2024;7225;7050;7250;7000;90.22M;3.21%
10/16/2024;7000;7050;7075;6925;133.02M;-0.71%
10/15/2024;7050;7000;7100;6925;90.36M;1.81%
10/14/2024;6925;6925;6975;6900;55.89M;-0.36%
10/11/2024;6950;7025;7025;6925;45.33M;0.00%
10/10/2024;6950;6925;7050;6900;44.29M;0.00%
10/09/2024;6950;7075;7175;6950;76.52M;-1.77%
10/08/2024;7075;6825;7175;6775;132.14M;2.91%
10/07/2024;6875;6925;6925;6800;103.94M;-1.08%
10/04/2024;6950;7025;7050;6900;79.49M;-1.42%
10/03/2024;7050;7000;7075;6900;86.26M;1.08%
10/02/2024;6975;7025;7100;6925;91.08M;-1.06%
10/01/2024;7050;7000;7075;6950;82.69M;1.81%
09/30/2024;6925;7000;7025;6875;166.20M;-1.77%
09/27/2024;7050;7025;7125;7000;161.41M;-1.74%
09/26/2024;7175;7175;7200;7100;173.04M;-0.35%
09/25/2024;7200;7350;7350;7050;192.20M;-3.03%
09/24/2024;7425;7400;7475;7375;81.82M;-0.34%
09/23/2024;7450;7325;7450;7300;79.68M;2.05%
09/20/2024;7300;7400;7425;7300;97.90M;-1.35%
09/19/2024;7400;7450;7550;7400;124.38M;0.00%
09/18/2024;7400;7375;7450;7350;47.28M;-0.34%
09/17/2024;7425;7325;7450;7300;96.43M;2.06%
09/13/2024;7275;7300;7300;7225;45.85M;-0.34%
09/12/2024;7300;7375;7425;7300;68.25M;-1.02%
09/11/2024;7375;7300;7400;7275;91.82M;1.72%
09/10/2024;7250;7250;7275;7225;73.52M;0.00%
09/09/2024;7250;7250;7250;7200;71.43M;0.00%
09/06/2024;7250;7175;7275;7150;63.62M;1.05%
09/05/2024;7175;7125;7225;7125;59.43M;0.00%
09/04/2024;7175;7000;7175;7000;78.79M;1.41%
09/03/2024;7075;7200;7250;7050;75.10M;-1.74%
09/02/2024;7200;7200;7275;7125;82.18M;1.05%
08/30/2024;7125;7100;7175;7075;153.76M;0.35%
08/29/2024;7100;7300;7300;7100;94.48M;-1.73%
08/28/2024;7225;7025;7225;7000;114.61M;2.85%
08/27/2024;7025;7025;7050;6925;91.69M;-0.35%
08/26/2024;7050;7050;7100;7000;78.52M;0.00%
08/23/2024;7050;7000;7075;6975;111.75M;0.00%
08/22/2024;7050;7150;7175;6925;157.32M;-2.76%
08/21/2024;7250;7300;7300;7225;88.49M;0.69%
08/20/2024;7200;7200;7350;7150;102.62M;0.70%
08/19/2024;7150;7075;7150;7025;50.25M;1.06%
08/16/2024;7075;7075;7125;7025;64.27M;0.71%
08/15/2024;7025;7075;7075;6925;75.96M;-0.71%
08/14/2024;7075;7075;7100;7025;97.70M;1.07%
