Date;Open
12/06/2024;6200
12/05/2024;6350
12/04/2024;6275
12/03/2024;6100
12/02/2024;6175
11/29/2024;6325
11/28/2024;6350
11/26/2024;6600
11/25/2024;6325
11/22/2024;6125
11/21/2024;6225
11/20/2024;6325
11/19/2024;6375
11/18/2024;6350
11/15/2024;6300
11/14/2024;6375
11/13/2024;6500
11/12/2024;6375
11/11/2024;6300
11/08/2024;6425
11/07/2024;6500
11/06/2024;6925
11/05/2024;6725
11/04/2024;6600
11/01/2024;6725
10/31/2024;6750
10/30/2024;6575
10/29/2024;6800
10/28/2024;7075
10/25/2024;6975
10/24/2024;7000
10/23/2024;7075
10/22/2024;7150
10/21/2024;7250
10/18/2024;7275
10/17/2024;7050
10/16/2024;7050
10/15/2024;7000
10/14/2024;6925
10/11/2024;7025
10/10/2024;6925
10/09/2024;7075
10/08/2024;6825
10/07/2024;6925
10/04/2024;7025
10/03/2024;7000
10/02/2024;7025
10/01/2024;7000
09/30/2024;7000
09/27/2024;7025
09/26/2024;7175
09/25/2024;7350
09/24/2024;7400
09/23/2024;7325
09/20/2024;7400
09/19/2024;7450
09/18/2024;7375
09/17/2024;7325
09/13/2024;7300
09/12/2024;7375
09/11/2024;7300
09/10/2024;7250
09/09/2024;7250
09/06/2024;7175
09/05/2024;7125
09/04/2024;7000
09/03/2024;7200
09/02/2024;7200
08/30/2024;7100
08/29/2024;7300
08/28/2024;7025
08/27/2024;7025
08/26/2024;7050
08/23/2024;7000
08/22/2024;7150
08/21/2024;7300
08/20/2024;7200
08/19/2024;7075
08/16/2024;7075
08/15/2024;7075
08/14/2024;7075
08/13/2024;6850
08/12/2024;6875
08/09/2024;6825
08/08/2024;6800
08/07/2024;6725
08/06/2024;6650
08/05/2024;6700
08/02/2024;6700
08/01/2024;6550
07/31/2024;6400
07/30/2024;6475
07/29/2024;6550
07/26/2024;6575
07/25/2024;6450
07/24/2024;6500
07/23/2024;6750
07/22/2024;6575
07/19/2024;6500
07/18/2024;6550
07/17/2024;6450
07/16/2024;6400
07/15/2024;6450
07/12/2024;6450
07/11/2024;6400
07/10/2024;6375
07/09/2024;6225
07/08/2024;6400
07/05/2024;6325
07/04/2024;6250
07/03/2024;6275
07/02/2024;6275
07/01/2024;6175
06/28/2024;6000
06/27/2024;5900
06/26/2024;5950
06/25/2024;5925
06/24/2024;6075
06/21/2024;6050
06/20/2024;5825
06/19/2024;5775
06/14/2024;5850
06/13/2024;5975
06/12/2024;6050
06/11/2024;6200
06/10/2024;6275
06/07/2024;6250
06/06/2024;6125
06/05/2024;6125
06/04/2024;6150
06/03/2024;6075
05/31/2024;6000
05/30/2024;5775
05/29/2024;5825
05/28/2024;5850
05/27/2024;6025
05/22/2024;6000
05/21/2024;6225
05/20/2024;6550
05/17/2024;6350
05/16/2024;6450
05/15/2024;6200
05/14/2024;6175
05/13/2024;6200
05/08/2024;6325
05/07/2024;6325
05/06/2024;6250
05/03/2024;6300
05/02/2024;6800
04/30/2024;6800
04/29/2024;6650
04/26/2024;7000
04/25/2024;7050
04/24/2024;6925
04/23/2024;6850
04/22/2024;6875
04/19/2024;6725
04/18/2024;6800
04/17/2024;6700
04/16/2024;6350
04/05/2024;6825
04/04/2024;6750
04/03/2024;6950
04/02/2024;6900
04/01/2024;7250
03/28/2024;7150
03/27/2024;7200
03/26/2024;7125
03/25/2024;7050
03/22/2024;7000
03/21/2024;7100
03/20/2024;7050
03/19/2024;7250
03/18/2024;7425
03/15/2024;7450
03/14/2024;7250
03/13/2024;7250
03/08/2024;7150
03/07/2024;7075
03/06/2024;7000
03/05/2024;7075
03/04/2024;7000
03/01/2024;7050
02/29/2024;7125
02/28/2024;7025
02/27/2024;6975
02/26/2024;6950
02/23/2024;7050
02/22/2024;7175
02/21/2024;7125
02/20/2024;7250
02/19/2024;7150
02/16/2024;7375
02/15/2024;7300
02/13/2024;7100
02/12/2024;7150
02/07/2024;6875
02/06/2024;6825
02/05/2024;6700
02/02/2024;6625
02/01/2024;6575
01/31/2024;6650
01/30/2024;6475
01/29/2024;6350
01/26/2024;6250
01/25/2024;6325
01/24/2024;6450
01/23/2024;6525
01/22/2024;6500
01/19/2024;6500
01/18/2024;6525
01/17/2024;6525
01/16/2024;6525
01/15/2024;6575
01/12/2024;6575
01/11/2024;6425
01/10/2024;6375
01/09/2024;6425
01/08/2024;6500
01/05/2024;6400
01/04/2024;6125
01/03/2024;6100
01/02/2024;6050
12/29/2023;6125
12/28/2023;6050
12/27/2023;6000
12/22/2023;5950
12/21/2023;5950
12/20/2023;5900
12/19/2023;5950
12/18/2023;5850
12/15/2023;5950
12/14/2023;5825
12/13/2023;5750
12/12/2023;5800
12/11/2023;5650
12/08/2023;5750
12/07/2023;5800
12/06/2023;5925
12/05/2023;6000
12/04/2023;5925
12/01/2023;5850
11/30/2023;5850
11/29/2023;5850
11/28/2023;5900
11/27/2023;5900
11/24/2023;5925
11/23/2023;5950
11/22/2023;5825
11/21/2023;5850
11/20/2023;5825
11/17/2023;5875
11/16/2023;5850
11/15/2023;5900
11/14/2023;5825
