Date;Price;Open;High;Low;Vol;Change
12/11/2024;32790,00;32650,00;32885,00;32633,00;5.66K;0.72%
12/10/2024;32555,00;32523,00;32667,00;32440,00;0.63K;-0.17%
12/09/2024;32611,00;31480,00;32945,00;31375,00;93.71K;3.24%
12/06/2024;31588,00;31825,00;31935,00;31320,00;61.55K;0.16%
12/05/2024;31536,00;31825,00;31950,00;31505,00;50.78K;-1.19%
12/04/2024;31915,00;31505,00;32070,00;31065,00;75.75K;1.34%
12/03/2024;31492,00;30990,00;31570,00;30920,00;54.34K;2.03%
12/02/2024;30864,00;31120,00;31135,00;30510,00;47.17K;-0.78%
11/29/2024;31108,00;30560,00;31375,00;30095,00;72.02K;1.81%
11/27/2024;30556,00;30930,00;31185,00;30435,00;58.51K;-0.90%
11/26/2024;30832,00;30770,00;31170,00;30455,00;49.96K;0.56%
11/25/2024;30661,00;31850,00;31980,00;30530,00;48.20K;-3.51%
11/22/2024;31776,00;31315,00;31905,00;31240,00;26.59K;1.27%
11/21/2024;31379,00;31370,00;31810,00;31145,00;22.97K;-0.17%
11/20/2024;31434,00;31735,00;31850,00;31295,00;13.81K;-0.82%
11/19/2024;31693,00;31660,00;32035,00;31555,00;15.25K;0.13%
11/18/2024;31652,00;30810,00;31780,00;30780,00;9.31K;2.58%
11/15/2024;30855,00;30970,00;31315,00;30695,00;6.03K;-0.44%
11/14/2024;30991,00;30820,00;31155,00;30180,00;10.62K;-0.32%
11/13/2024;31090,00;31255,00;31665,00;30815,00;16.35K;-0.31%
11/12/2024;31188,00;31195,00;31355,00;30700,00;17.69K;0.49%
11/11/2024;31036,00;31850,00;32080,00;30940,00;16.92K;-2.67%
11/08/2024;31886,00;32585,00;32585,00;31735,00;16.80K;-1.26%
11/07/2024;32292,00;31720,00;32690,00;31405,00;15.66K;1.68%
11/06/2024;31760,00;33290,00;33290,00;31380,00;12.15K;-4.39%
11/05/2024;33220,00;33035,00;33490,00;32800,00;6.58K;0.51%
11/04/2024;33052,00;33000,00;33425,00;32865,00;5.71K;-0.22%
11/01/2024;33124,00;33220,00;33680,00;32930,00;7.01K;-0.35%
10/31/2024;33239,00;34420,00;34470,00;33100,00;6.05K;-3.75%
10/30/2024;34534,00;35075,00;35140,00;34015,00;5.42K;-0.20%
10/29/2024;34603,00;34005,00;34845,00;33950,00;0.32K;1.29%
10/28/2024;34161,00;33895,00;34295,00;33585,00;0.14K;0.65%
10/25/2024;33939,00;33970,00;34260,00;33490,00;0.31K;-0.05%
10/24/2024;33955,00;34025,00;34605,00;33625,00;0.40K;-0.13%
10/23/2024;33999,00;35185,00;35190,00;33800,00;0.41K;-3.42%
10/22/2024;35204,00;34230,00;35205,00;34230,00;0.47K;2.82%
10/21/2024;34237,00;34050,00;34620,00;33940,00;0.55K;2.54%
10/18/2024;33389,00;32055,00;34120,00;32040,00;0.55K;4.59%
10/17/2024;31924,00;32035,00;32310,00;31800,00;0.17K;-0.62%
10/16/2024;32124,00;31865,00;32500,00;31860,00;0.50K;0.68%
10/15/2024;31906,00;31585,00;32000,00;31255,00;0.10K;1.40%
10/14/2024;31467,00;31870,00;31870,00;31280,00;0.43K;-1.37%
10/11/2024;31904,00;31560,00;31980,00;31440,00;0.19K;1.65%
10/10/2024;31385,00;30880,00;31510,00;30795,00;0.10K;1.86%
10/09/2024;30812,00;30950,00;31120,00;30680,00;0.13K;0.22%
10/08/2024;30743,00;32040,00;32040,00;30600,00;0.12K;-4.38%
10/07/2024;32152,00;32590,00;32635,00;31945,00;0.07K;-1.21%
10/04/2024;32545,00;32510,00;33370,00;31900,00;0.30K;-0.19%
10/03/2024;32608,00;32180,00;32545,00;31815,00;0.24K;1.69%
10/02/2024;32065,00;31780,00;32570,00;31495,00;0.18K;0.56%
10/01/2024;31885,00;31605,00;32250,00;31605,00;0.12K;0.90%
09/30/2024;31600,00;32200,00;32230,00;31380,00;0.13K;-1.12%
09/27/2024;31958,00;32480,00;32680,00;31850,00;0.20K;-1.18%
09/26/2024;32341,00;32110,00;33020,00;32035,00;94.20K;1.01%
09/25/2024;32018,00;32445,00;32610,00;31870,00;85.61K;-1.27%
09/24/2024;32430,00;31020,00;32600,00;30960,00;115.08K;4.33%
09/23/2024;31085,00;31535,00;31550,00;30670,00;62.47K;-1.33%
09/20/2024;31505,00;31110,00;31755,00;31040,00;76.17K;0.26%
09/19/2024;31423,00;30415,00;31625,00;30220,00;77.05K;2.40%
09/18/2024;30687,00;31025,00;31585,00;30035,00;85.43K;-0.94%
09/17/2024;30979,00;31075,00;31350,00;30860,00;48.35K;-0.50%
09/16/2024;31135,00;31075,00;31460,00;30950,00;50.59K;0.20%
09/13/2024;31074,00;30230,00;31280,00;30190,00;84.16K;3.21%
09/12/2024;30107,00;29020,00;30250,00;28850,00;80.35K;4.08%
09/11/2024;28928,00;28725,00;29215,00;28390,00;69.78K;1.10%
09/10/2024;28614,00;28690,00;28890,00;28360,00;47.04K;-0.13%
09/09/2024;28651,00;28270,00;28710,00;28035,00;48.56K;1.66%
09/06/2024;28183,00;29155,00;29470,00;28010,00;89.00K;-3.15%
09/05/2024;29099,00;28630,00;29550,00;28535,00;64.09K;1.90%
09/04/2024;28557,00;28390,00;28715,00;28110,00;46.98K;0.75%
09/03/2024;28344,00;29240,00;29350,00;28055,00;91.64K;-1.92%
09/02/2024;28898,00;29247,00;29350,00;28705,00;;-1.20%
09/01/2024;29250,00;29188,00;29260,00;29185,00;;0.37%
08/30/2024;29143,00;29840,00;30000,00;29080,00;60.31K;-2.82%
08/29/2024;29989,00;29560,00;30085,00;29540,00;70.38K;1.22%
08/28/2024;29628,00;30430,00;30545,00;29505,00;52.52K;-2.62%
08/27/2024;30426,00;30375,00;30545,00;30145,00;34.97K;-0.09%
