Date;Price;Open;High;Low;Vol;Change
12/11/2024;32790;32650;32885;32633;5.66K;0.72%
12/10/2024;32555;32523;32667;32440;0.63K;-0.17%
12/09/2024;32611;31480;32945;31375;93.71K;3.24%
12/06/2024;31588;31825;31935;31320;61.55K;0.16%
12/05/2024;31536;31825;31950;31505;50.78K;-1.19%
12/04/2024;31915;31505;32070;31065;75.75K;1.34%
12/03/2024;31492;30990;31570;30920;54.34K;2.03%
12/02/2024;30864;31120;31135;30510;47.17K;-0.78%
11/29/2024;31108;30560;31375;30095;72.02K;1.81%
11/27/2024;30556;30930;31185;30435;58.51K;-0.90%
11/26/2024;30832;30770;31170;30455;49.96K;0.56%
11/25/2024;30661;31850;31980;30530;48.20K;-3.51%
11/22/2024;31776;31315;31905;31240;26.59K;1.27%
11/21/2024;31379;31370;31810;31145;22.97K;-0.17%
11/20/2024;31434;31735;31850;31295;13.81K;-0.82%
11/19/2024;31693;31660;32035;31555;15.25K;0.13%
11/18/2024;31652;30810;31780;30780;9.31K;2.58%
11/15/2024;30855;30970;31315;30695;6.03K;-0.44%
11/14/2024;30991;30820;31155;30180;10.62K;-0.32%
11/13/2024;31090;31255;31665;30815;16.35K;-0.31%
11/12/2024;31188;31195;31355;30700;17.69K;0.49%
11/11/2024;31036;31850;32080;30940;16.92K;-2.67%
11/08/2024;31886;32585;32585;31735;16.80K;-1.26%
11/07/2024;32292;31720;32690;31405;15.66K;1.68%
11/06/2024;31760;33290;33290;31380;12.15K;-4.39%
11/05/2024;33220;33035;33490;32800;6.58K;0.51%
11/04/2024;33052;33000;33425;32865;5.71K;-0.22%
11/01/2024;33124;33220;33680;32930;7.01K;-0.35%
10/31/2024;33239;34420;34470;33100;6.05K;-3.75%
10/30/2024;34534;35075;35140;34015;5.42K;-0.20%
10/29/2024;34603;34005;34845;33950;0.32K;1.29%
10/28/2024;34161;33895;34295;33585;0.14K;0.65%
10/25/2024;33939;33970;34260;33490;0.31K;-0.05%
10/24/2024;33955;34025;34605;33625;0.40K;-0.13%
10/23/2024;33999;35185;35190;33800;0.41K;-3.42%
10/22/2024;35204;34230;35205;34230;0.47K;2.82%
10/21/2024;34237;34050;34620;33940;0.55K;2.54%
